date,bases,open_access_bases,bytes,open_access_bytes
11/27/2012,9.62256E+14,3.7408E+14,7.47171E+14,3.76672E+14
11/28/2012,9.6465E+14,3.74339E+14,7.48756E+14,3.76834E+14
11/29/2012,9.66769E+14,3.7471E+14,7.4994E+14,3.77077E+14
11/30/2012,9.76753E+14,3.76282E+14,7.57238E+14,3.7812E+14
12/01/2012,9.77021E+14,3.76479E+14,7.57414E+14,3.78264E+14
12/02/2012,9.77406E+14,3.76865E+14,7.57594E+14,3.78443E+14
12/03/2012,9.78688E+14,3.77739E+14,7.58378E+14,3.79016E+14
12/04/2012,9.79631E+14,3.78682E+14,7.58904E+14,3.79542E+14
12/05/2012,9.82235E+14,3.81286E+14,7.60363E+14,3.81001E+14
12/06/2012,1.00158E+15,4.00634E+14,7.72519E+14,3.93157E+14
12/07/2012,1.00344E+15,4.02489E+14,7.73573E+14,3.94211E+14
12/08/2012,1.00597E+15,4.0502E+14,7.7488E+14,3.95518E+14
12/09/2012,1.00887E+15,4.07631E+14,7.76456E+14,3.96879E+14
12/10/2012,1.01162E+15,4.10054E+14,7.78055E+14,3.98234E+14
12/11/2012,1.0133E+15,4.11733E+14,7.79081E+14,3.9926E+14
12/12/2012,1.01451E+15,4.12909E+14,7.79839E+14,4E+14
12/13/2012,1.01705E+15,4.15326E+14,7.81665E+14,4.01761E+14
12/14/2012,1.01893E+15,4.16579E+14,7.82885E+14,4.0266E+14
12/15/2012,1.01907E+15,4.16717E+14,7.82988E+14,4.02763E+14
12/16/2012,1.01939E+15,4.16723E+14,7.83224E+14,4.02771E+14
12/17/2012,1.02027E+15,4.17158E+14,7.83741E+14,4.03051E+14
12/18/2012,1.02137E+15,4.17939E+14,7.84445E+14,4.03588E+14
12/19/2012,1.02233E+15,4.18311E+14,7.84933E+14,4.03774E+14
12/20/2012,1.02363E+15,4.19497E+14,7.8565E+14,4.04444E+14
12/21/2012,1.02702E+15,4.22888E+14,7.87817E+14,4.06612E+14
